5.401000976562500000e-01,1.940492987632751465e+00,3.428260982036590576e-01,1.999920082092285156e+01,5.775146484375000000e-01,3.718923628330230713e-01,8.200972080230712891e-01,7.288762092590332031e+00,1.483154296875000000e-02,1.734932884573936462e-02,2.451637387275695801e-01
5.396728515625000000e-01,1.307965636253356934e+00,9.994294643402099609e-01,9.086175918579101562e+00,5.776367187500000000e-01,6.221485733985900879e-01,3.104489445686340332e-01,2.039893341064453125e+01,2.172851562500000000e-02,1.259760651737451553e-02,9.112920761108398438e-01
5.401000976562500000e-01,8.682733774185180664e-01,1.034764423966407776e-01,4.004068374633789062e+00,5.775146484375000000e-01,8.268465995788574219e-01,3.812139630317687988e-01,3.603040313720703125e+01,3.143310546875000000e-02,1.526813581585884094e-02,1.164317652583122253e-01
5.401000976562500000e-01,1.107269644737243652e+00,2.740470767021179199e-01,6.511713504791259766e+00,5.775146484375000000e-01,6.049707531929016113e-01,4.050126671791076660e-01,1.928803634643554688e+01,2.624511718750000000e-02,2.223900705575942993e-02,2.008375376462936401e-01
5.401000976562500000e-01,1.008075118064880371e+00,4.417620003223419189e-01,5.397271633148193359e+00,5.775146484375000000e-01,5.798702836036682129e-01,5.303961038589477539e-01,1.772070503234863281e+01,1.483154296875000000e-02,1.122579630464315414e-02,8.008880019187927246e-01
5.401000976562500000e-01,1.065123319625854492e+00,6.418284773826599121e-01,6.025433063507080078e+00,5.775146484375000000e-01,5.114089250564575195e-01,6.739238500595092773e-01,1.378338432312011719e+01,1.037597656250000000e-02,1.641362719237804413e-02,3.742298483848571777e-01
5.401000976562500000e-01,1.198734641075134277e+00,8.115057349205017090e-01,7.631934165954589844e+00,5.775146484375000000e-01,6.086735129356384277e-01,7.989522218704223633e-01,1.952486610412597656e+01,1.470947265625000000e-02,1.805976033210754395e-02,4.647197201848030090e-02
5.401000976562500000e-01,1.064079284667968750e+00,9.907318949699401855e-01,6.013627052307128906e+00,5.775146484375000000e-01,6.338323354721069336e-01,9.039053320884704590e-01,2.117230033874511719e+01,1.348876953125000000e-02,1.382673718035221100e-02,8.614680171012878418e-01
5.401000976562500000e-01,1.114720821380615234e+00,1.809318512678146362e-01,6.599647045135498047e+00,5.775146484375000000e-01,5.620515346527099609e-01,2.722278423607349396e-02,1.664836311340332031e+01,3.137207031250000000e-02,1.637511886656284332e-02,5.658116340637207031e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.401000976562500000e-01,1.014841079711914062e+00,5.350611805915832520e-01,5.469965457916259766e+00,5.775146484375000000e-01,6.506803035736083984e-01,3.048315346240997314e-01,2.231282424926757812e+01,1.220703125000000000e-02,3.083496727049350739e-02,8.783375620841979980e-01
