      TYPE       NAME S                     BX                    AX                     FX                    BY                    AY                     FY
      MARK       HEAD 0.000000000000000e+00 1.506822942487333e+01 -1.875670977514179e-01 0.000000000000000e+00 5.466361931979657e+00 -9.547250134572445e-01 0.000000000000000e+00
      MARK       STP0 0.000000000000000e+00 1.506822942487333e+01 -1.875670977514179e-01 0.000000000000000e+00 5.466361931979657e+00 -9.547250134572445e-01 0.000000000000000e+00
      DRIF       OT03 4.857142857142858e-02 1.508661230364242e+01 -1.909039357299022e-01 3.221474153021271e-03 5.559931616591748e+00 -9.717096697328503e-01 8.810541052020074e-03
      DRIF       OT03 9.714285714285716e-02 1.510531933238657e+01 -1.942407737083865e-01 6.438990825080329e-03 5.655151239242040e+00 -9.886943260084562e-01 1.747276626870769e-02
      DRIF       OT03 1.457142857142857e-01 1.512435051110577e+01 -1.975776116868709e-01 9.652490809994797e-03 5.752020799930534e+00 -1.005678982284062e+00 2.598912194315529e-02
      DRIF       OT03 1.942857142857143e-01 1.514370583980002e+01 -2.009144496653552e-01 1.286191538113049e-02 5.850540298657230e+00 -1.022663638559668e+00 3.436205733375597e-02
      DRIF       OT03 2.428571428571429e-01 1.516338531846932e+01 -2.042512876438395e-01 1.606720629652969e-02 5.950709735422127e+00 -1.039648294835273e+00 4.259402036010135e-02
      DRIF       OT03 2.914285714285715e-01 1.518338894711368e+01 -2.075881256223237e-01 1.926830580390350e-02 6.052529110225227e+00 -1.056632951110879e+00 5.068745365286400e-02
      DRIF       OT03 3.400000000000001e-01 1.520371672573309e+01 -2.109249636008080e-01 2.246515664548756e-02 6.155998423066528e+00 -1.073617607386485e+00 5.864479093940275e-02
      QUAD       STL1 3.895000000000001e-01 1.521592706106211e+01 -3.570070420439496e-02 2.571932350480467e-02 6.266761964699430e+00 -1.164463029367875e+00 6.661520714342903e-02
      QUAD       STL1 4.390000000000001e-01 1.521078272758764e+01 1.396065056722984e-01 2.897273442993881e-02 6.386651416222962e+00 -1.258015125900956e+00 7.444037167247167e-02
      QUAD       STL1 4.885000000000000e-01 1.518829567815324e+01 3.145893402473319e-01 3.222910341282683e-02 6.515945448337067e+00 -1.354491349212683e+00 8.211444929448247e-02
      QUAD       STL1 5.380000000000000e-01 1.514851816135153e+01 4.888412274238160e-01 3.549215784174939e-02 6.654944591722056e+00 -1.454115948361975e+00 8.963224293471546e-02
      QUAD       STL1 5.875000000000000e-01 1.509154260012478e+01 6.619572934589727e-01 3.876565544723876e-02 6.803971935591253e+00 -1.557120490483587e+00 9.698919100005056e-02
      QUAD       STL1 6.370000000000000e-01 1.501750137702041e+01 8.335353036870757e-01 4.205340153829815e-02 6.963373878678653e+00 -1.663744399042102e+00 1.041813599650164e-01
      QUAD       STL1 6.865000000000000e-01 1.492656652660061e+01 1.003176597110502e+00 4.535926669616591e-02 7.133520934407152e+00 -1.774235510347148e+00 1.112054326254255e-01
      QUAD       STL1 7.360000000000000e-01 1.481894933572049e+01 1.170487012687378e+00 4.868720510035761e-02 7.314808592108888e+00 -1.888850649623412e+00 1.180586924561139e-01
      QUAD       STL1 7.855000000000000e-01 1.469489985260370e+01 1.335077805163589e+00 5.204127367217610e-02 7.507658236299524e+00 -2.007856227974462e+00 1.247390045286717e-01
      QUAD       STL1 8.350000000000000e-01 1.455470630585616e+01 1.496566548321224e+00 5.542565223455710e-02 7.712518126143213e+00 -2.131528861627957e+00 1.312447934540140e-01
      QUAD       STL1 8.845000000000000e-01 1.439869443476774e+01 1.654578023544760e+00 5.884466490436396e-02 7.929864437384930e+00 -2.260156014901619e+00 1.375750188141254e-01
      QUAD       STL1 9.339999999999999e-01 1.422722673245796e+01 1.808745091640399e+00 6.230280295450644e-02 8.160202369172010e+00 -2.394036668384477e+00 1.437291485384345e-01
      QUAD       STL1 9.834999999999999e-01 1.404070160362431e+01 1.958709545882899e+00 6.580474940909586e-02 8.404067318337615e+00 -2.533482013886496e+00 1.497071306642365e-01
      QUAD       STL1 1.033000000000000e+00 1.383955243885014e+01 2.104122944307833e+00 6.935540566595901e-02 8.662026123875608e+00 -2.678816177771933e+00 1.555093638986163e-01
      QUAD       STL1 1.082500000000000e+00 1.362424660762293e+01 2.244647419315462e+00 7.295992047807412e-02 8.934678384499492e+00 -2.830376974357738e+00 1.611366673726774e-01
      QUAD       STL1 1.132000000000000e+00 1.339528437240261e+01 2.379956462705098e+00 7.662372166991956e-02 9.222657852347959e+00 -2.988516691128192e+00 1.665902499487117e-01
      QUAD       STL1 1.181500000000000e+00 1.315319772626331e+01 2.509735684315944e+00 8.035255101763035e-02 9.526633906076563e+00 -3.153602907590930e+00 1.718716794083833e-01
      QUAD       STL1 1.231000000000000e+00 1.289854915680895e+01 2.633683542511694e+00 8.415250278482628e-02 9.847313106759549e+00 -3.326019349677704e+00 1.769828518160202e-01
      QUAD       STL1 1.280500000000000e+00 1.263193033923502e+01 2.751512044811635e+00 8.803006648095087e-02 1.018544084021841e+01 -3.506166781675845e+00 1.819259613166251e-01
      QUAD       STL1 1.330000000000001e+00 1.235396076157298e+01 2.862947417040318e+00 9.199217449833465e-02 1.054180304959457e+01 -3.694463937763636e+00 1.867034705939736e-01
      QUAD       STL1 1.379500000000001e+00 1.206528628531168e+01 2.967730739441045e+00 9.604625539091309e-02 1.091722806219339e+01 -3.891348495314840e+00 1.913180821808154e-01
      QUAD       STL1 1.429000000000001e+00 1.176657764474011e+01 3.065618548275151e+00 1.002002936852286e-01 1.131258851484579e+01 -4.097278092234743e+00 1.957727107812481e-01
